"ReleaseVersion","ArtifactRole","DriverComponent","InfRelativePath","Server","BaseBuild","AsPublishedStatus","ProjectionStatus","StaticAssessment","CanonicalStaticAssessment","WdfScope","Confidence","RuntimeCompatibility","AsPublishedModelsSections","ProjectionModelsSections","AsPublishedHardwareIdCount","ProjectionHardwareIdCount","KMDFDeclared","KMDFDocumented","KMDFObserved","UMDFDeclared","ManifestMatchCount"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\I2STDM\WT64A\amdi2stdmafd.inf","Windows Server 2025","26100","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","Standard.NTamd64","Standard.NTamd64","1","1","1.15","1.33","1.35","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\SAFD\WT64A\amdsafd.inf","Windows Server 2016","14393","NotApplicableByBuild","NotApplicableByBuild","NOT_APPLICABLE","NotApplicable","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","","0","0","1.15","1.19","","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\SAFD\WT64A\amdsafd.inf","Windows Server 2019","17763","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64.10.0...16299","AMD.NTAMD64.10.0...16299","1","1","1.15","1.27","1.27","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\SAFD\WT64A\amdsafd.inf","Windows Server 2022","20348","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64.10.0...16299","AMD.NTAMD64.10.0...16299","1","1","1.15","1.33","","","1"
"26.5.2","PolarisVega","Audio","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Audio\SAFD\WT64A\amdsafd.inf","Windows Server 2025","26100","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD.NTAMD64.10.0...16299","AMD.NTAMD64.10.0...16299","1","1","1.15","1.33","1.35","","1"
"26.5.2","PolarisVega","Display","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Display\WT6A_INF\u0201039.inf","Windows Server 2016","14393","NotApplicableByBuild","ExplicitlyExcluded","NOT_APPLICABLE","NotApplicable","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","ATI.Mfg.NTamd64.10.0.1;ATI.Mfg.NTamd64.6.0.1;ATI.Mfg.NTamd64.6.1.1;ATI.Mfg.NTamd64.6.2.1;ATI.Mfg.NTamd64.6.3.1","0","0","","1.19","","","1"
"26.5.2","PolarisVega","Display","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Display\WT6A_INF\u0201039.inf","Windows Server 2019","17763","NotApplicableByBuild","ExplicitlyExcluded","NOT_APPLICABLE","NotApplicable","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","ATI.Mfg.NTamd64.10.0.1;ATI.Mfg.NTamd64.6.0.1;ATI.Mfg.NTamd64.6.1.1;ATI.Mfg.NTamd64.6.2.1;ATI.Mfg.NTamd64.6.3.1","0","0","","1.27","1.27","","1"
"26.5.2","PolarisVega","Display","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Display\WT6A_INF\u0201039.inf","Windows Server 2022","20348","NotApplicableByProductType","ProjectionCandidate","PATCH_CANDIDATE","ProjectionCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","ATI.Mfg.NTamd64.10.0.1..19044","0","5047","","1.33","","","1"
"26.5.2","PolarisVega","Display","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Display\WT6A_INF\u0201039.inf","Windows Server 2025","26100","NotApplicableByProductType","ProjectionCandidate","PATCH_CANDIDATE","ProjectionCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","","ATI.Mfg.NTamd64.10.0.1..19044","0","5047","","1.33","1.35","","1"
"26.5.2","PolarisVega","Display","d0_whql-amd-software-adrenalin-edition-26.5.2-win11-may-vega-polaris.exe_2e8755b69dde\Packages\Drivers\Display\WT6A_INF\amdafd\amdafd.inf","Windows Server 2016","14393","NativeApplicable","NativeApplicable","NATIVE_CANDIDATE","NativeCandidate","InfWideConservative","STATIC_CANDIDATE","NotEstablished","AMD_KMAFD.NTAMD64","AMD_KMAFD.NTAMD64","2","2","","1.19","","","0"
